league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,src_league
ENG-Premier League,2020-21,Chelsea,Kepa,1,2020,80,5061,GK S,7,582,0,0.0,0,0.0,0,0.0,0,0,1,0,0.30502480547875166,0.30502480547875166,ENG1
ENG-Premier League,2020-21,Chelsea,Kurt Zouma,1,2020,80,935,D S,24,2024,5,3.1368540562689304,5,3.1368540562689304,0,0.08146690018475056,27,4,3,0,6.216146887280047,6.133134902454913,ENG1
ENG-Premier League,2020-21,Chelsea,Marcos Alonso,1,2020,80,1621,D S,13,962,2,1.824077844619751,2,1.824077844619751,0,1.7216993737965822,22,15,2,0,4.6433930564671755,2.5364248510450125,ENG1
ENG-Premier League,2020-21,Chelsea,Mason Mount,1,2020,80,7768,F M S,36,2891,6,6.884881563484669,5,6.123712250962853,5,9.847691288217902,82,87,2,0,21.69607226829976,12.443154769949615,ENG1
ENG-Premier League,2020-21,Chelsea,Mateo Kovacic,1,2020,80,2254,M S,27,1833,0,0.9314175006002188,0,0.9314175006002188,1,1.915258969180286,23,21,4,0,14.808719574473798,13.035788065753877,ENG1
ENG-Premier League,2020-21,Chelsea,N'Golo Kanté,1,2020,80,751,M S,30,2142,0,0.7004625108093023,0,0.7004625108093023,2,1.2067134976387024,10,22,7,0,10.102663565427065,8.441410657018423,ENG1
ENG-Premier League,2020-21,Chelsea,Olivier Giroud,1,2020,80,502,F S,17,750,4,5.0704178139567375,4,5.0704178139567375,0,1.175797939300537,29,6,1,0,5.245492395013571,1.7113378066569567,ENG1
ENG-Premier League,2020-21,Chelsea,Reece James,1,2020,80,8067,D M S,32,2355,1,1.534597285091877,1,1.534597285091877,2,3.6499774176627398,35,42,3,0,11.71861541364342,9.588870281353593,ENG1
ENG-Premier League,2020-21,Chelsea,Ruben Loftus-Cheek,1,2020,80,688,F M S,31,1988,1,3.3300100583583117,1,3.3300100583583117,0,1.244578005746007,35,17,3,0,7.614797158166766,3.7472258722409606,ENG1
ENG-Premier League,2020-21,Chelsea,Tammy Abraham,1,2020,80,702,F S,22,1027,6,6.1891482546925545,6,6.1891482546925545,1,0.7214870899915695,32,9,0,0,7.901167066767812,2.122331554070115,ENG1
